id,lemma,count
825,helistama,2049
826,taevas,2047
827,number,2047
828,puudutama,2043
829,võibolla,2042
830,paber,2040
831,liik,2037
832,isiklik,2035
833,ilm,2032
834,võrra,2028
835,eri,2027
836,katma,2024
837,rakendamine,2022
838,avastama,2020
839,oht,2017
840,tegutsema,2011
841,suurendama,2006
842,kodanik,2004
843,tabama,2002
844,tuli,2000
845,proovima,2000
846,aine,1997
847,küllap,1994
848,ilmnema,1991
849,seepärast,1985
850,kohale,1983
851,laev,1982
852,element,1981
853,sügis,1977
854,meeter,1971
855,jaanuar,1970
856,vokaal,1969
857,vedama,1969
858,pidevalt,1969
859,loobuma,1967
860,kurat,1967
861,seisund,1961
862,igasugune,1957
863,üksteise,1954
864,levima,1953
865,kuuluv,1952
866,meri,1950
867,keerama,1945
868,ammu,1941
869,vähene,1940
870,kallis,1937
871,hirm,1937
872,tuul,1934
873,tarvis,1930
874,kerge,1927
875,majanduslik,1923
876,iseenese,1923
877,eeldama,1920
878,tegelane,1918
879,poolest,1917
880,suruma,1912
881,september,1911
882,saamine,1907
883,dokument,1906
884,juus,1904
885,tapma,1902
886,info,1902
887,kõrv,1901
888,vaatlema,1898
889,igaüks,1896
890,siit,1894
891,summa,1893
892,varsti,1887
893,pikem,1883
894,omavahel,1882
895,omakorda,1882
896,negatiivne,1881
897,kaitse,1881
898,kostma,1875
899,kohal,1875
900,ülevaade,1873
901,arenema,1871
902,laulma,1867
903,kuluma,1867
904,tingima,1861
905,lendama,1859
906,iseloomustama,1857
907,mõjuma,1853
908,osakaal,1851
909,kokkuvõte,1851
910,vaheline,1847
911,sissetulek,1847
912,kehtima,1846
913,käsitlus,1844
914,arve,1843
915,tänavu,1836
916,pealegi,1836
917,täitmine,1832
918,vara,1829
919,esialgu,1829
920,lootus,1827
921,asuv,1826
922,ulatus,1825
923,mure,1823
924,võit,1822
925,pealt,1820
926,loodus,1817
927,mõnikord,1808
928,eristama,1808
929,kohtuma,1799
930,igatahes,1799
931,piirama,1794
932,mainima,1792
933,vanaema,1791
934,teooria,1791
935,otsene,1791
936,sõnama,1784
937,seitse,1782
938,seesama,1779
939,üksi,1778
940,olulisem,1778
941,kontroll,1778
942,püsima,1775
943,tööandja,1760
944,käsk,1760
945,internet,1760
946,kuulutama,1752
947,vale,1751
948,julgema,1750
949,teineteise,1749
950,juuni,1745
951,kaheksa,1741
952,vastane,1736
953,riie,1732
954,osakond,1730
955,seejuures,1729
956,naeratama,1727
957,peaminister,1719
958,madalam,1719
959,tõsine,1717
960,noormees,1715
961,tegelik,1714
962,kasutaja,1713
963,tasu,1710
964,keelama,1710
965,tähtsus,1709
966,aprill,1708
967,nähtus,1702
968,ravim,1701
969,märts,1696
970,uni,1694
971,norm,1692
972,lugeja,1692
973,oktoober,1686
974,sulgema,1685
975,hobune,1685
976,hall,1684
977,õde,1678
978,järjest,1678
979,füüsiline,1672
980,varjama,1671
981,sõlmima,1671
982,noorem,1671
983,kivi,1667
984,kõigepealt,1666
985,pärit,1664
986,värv,1663
987,august,1661
988,tasand,1660
989,näitleja,1660
990,kusjuures,1657
991,hoolimata,1657
992,toit,1656
993,tõenäoliselt,1655
994,sobiv,1655
995,oskus,1654
996,linnavalitsus,1654
997,arutama,1654
998,ots,1653
999,elav,1652
1000,põhjendama,1651
1001,täielik,1648
1002,jõgi,1648
1003,tagant,1647
1004,väljendama,1640
1005,millal,1640
1006,abikaasa,1640
1007,nina,1639
1008,kunst,1639
1009,neljas,1637
1010,vahepeal,1636
1011,kõlama,1632
1012,nahk,1626
1013,mood,1626
1014,püsti,1625
1015,romaan,1617
1016,edaspidi,1616
1017,vältima,1615
1018,järeldus,1612
1019,peremees,1611
1020,põlema,1609
1021,üliõpilane,1608
1022,parandama,1608
1023,etendus,1608
1024,tähistama,1605
1025,printsiip,1604
1026,kilomeeter,1604
1027,leppima,1602
1028,partei,1600
1029,erinema,1600
1030,viibima,1598
1031,detsember,1598
1032,omama,1597
1033,ametnik,1596
1034,instituut,1595
1035,võistlus,1594
1036,professor,1593
1037,keskmiselt,1592
1038,järgnev,1592
1039,üldiselt,1590
1040,puudumine,1590
1041,osutama,1590
1042,kiirus,1588
1043,lava,1587
1044,ühendama,1584
1045,majandus,1584
1046,positsioon,1583
1047,tunduvalt,1581
1048,tervik,1581
1049,telefon,1581
1050,kaup,1580
1051,samasugune,1578
1052,aspekt,1577
1053,dollar,1574
1054,risk,1571
1055,kael,1571
1056,publik,1570
1057,kinnitus,1570
1058,volikogu,1569
1059,lai,1568
1060,sõrm,1566
1061,paraku,1562
1062,pime,1561
1063,rahvuslik,1558
1064,taust,1555
1065,aktsia,1553
1066,saatus,1551
1067,vaataja,1548
1068,poliitika,1547
1069,direktor,1545
1070,tänane,1544
1071,tõestama,1544
1072,kõnelema,1542
1073,veebruar,1541
1074,kusagil,1540
1075,praktika,1539
1076,kunstnik,1539
1077,kiitma,1538
1078,keskus,1537
1079,omandama,1530
1080,eelistama,1528
1081,kehtestama,1527
1082,ühendus,1526
1083,köök,1520
1084,joon,1520
1085,ühtlasi,1519
1086,saar,1519
1087,lähedal,1519
1088,kasutatav,1518
1089,fakt,1518
1090,vaatamata,1517
1091,nurk,1516
1092,pruukima,1514
1093,november,1511
1094,valu,1510
1095,meelest,1505
1096,erinevalt,1502
1097,valitsema,1497
1098,tahe,1497
1099,uurija,1494
1100,ajakirjanik,1493
1101,ulatuma,1492
1102,seis,1492
1103,mulje,1491
1104,puutuma,1488
1105,pidu,1488
1106,lavastus,1488
1107,kaart,1486
1108,segama,1485
1109,loomulik,1485
1110,avaldus,1483
1111,toimuv,1482
1112,niisama,1482
1113,müük,1482
1114,koosnema,1481
1115,põrand,1480
1116,täht,1478
1117,toimima,1477
1118,saak,1477
1119,normaalne,1477
1120,rõõm,1474
1121,põhi,1473
1122,rõhk,1465
1123,selts,1464
1124,kahjuks,1458
1125,määramine,1456
1126,maakond,1454
1127,õppimine,1452
1128,aina,1451
1129,pind,1449
1130,selgelt,1448
1131,juhtimine,1448
1132,taipama,1447
1133,sugugi,1447
1134,mõõtma,1447
1135,juhtum,1446
1136,klubi,1444
1137,korralik,1443
1138,eeldus,1443
1139,komponent,1441
1140,vabadus,1440
1141,komisjon,1440
1142,niisiis,1436
1143,imelik,1436
1144,endiselt,1436
1145,püha,1435
1146,kuhugi,1435
1147,suhtumine,1432
1148,põlvkond,1431
1149,kasvatama,1431
1150,tähtsam,1430
1151,nõus,1430
1152,kannatama,1429
1153,talv,1428
1154,mälestus,1426
1155,lahendama,1425
1156,kahtlus,1424
1157,pood,1423
1158,võimatu,1422
1159,võimalikult,1419
1160,rind,1418
1161,tõus,1417
1162,vajuma,1416
1163,keeruline,1416
1164,seekord,1406
1165,buss,1402
1166,näitus,1401
1167,erakond,1401
1168,rahul,1400
1169,vari,1399
1170,vaevalt,1399
1171,hüüdma,1399
1172,abielu,1396
1173,kulu,1390
1174,nõrk,1382
1175,murdma,1380
1176,kursus,1380
1177,esindama,1380
1178,ülejäänud,1378
1179,võime,1377
1180,peatuma,1377
1181,registreerima,1374
1182,säilitama,1370
1183,nimel,1369
1184,väljas,1366
1185,teadlane,1366
1186,olemus,1366
1187,rajama,1365
1188,lõikama,1359
1189,vaikima,1356
1190,näidend,1356
1191,siga,1355
1192,rikkuma,1353
1193,maht,1347
1194,kala,1344
1195,ebavõrdsus,1343
1196,tootmine,1341
1197,raskus,1341
1198,mägi,1339
1199,lennuk,1336
1200,laupäev,1336
1201,õpik,1334
1202,hooaeg,1334
1203,harjuma,1334
1204,üleminek,1332
1205,täielikult,1332
1206,teisiti,1332
1207,ääres,1330
1208,etapp,1330
1209,nentima,1328
1210,ükskõik,1327
1211,suunas,1327
1212,vastupidi,1326
1213,läbima,1324
1214,piisama,1322
1215,miljard,1321
1216,kogus,1321
1217,eelarve,1320
1218,õnnelik,1319
1219,külaline,1319
1220,värav,1318
1221,pudel,1318
1222,karakteristik,1316
1223,meedia,1315
1224,otsekui,1311
1225,korraldus,1311
1226,sekund,1310
1227,ärkama,1309
1228,vaim,1309
1229,ring,1309
1230,hammas,1309
1231,küllalt,1307
1232,saal,1306
1233,nõustuma,1306
1234,elektrooniline,1304
1235,aktiivne,1303
1236,õieti,1302
1237,tasku,1302
1238,edu,1302
1239,poliitik,1300
1240,mitmesugune,1300
1241,kolleeg,1300
1242,karistus,1299
1243,arendamine,1299
1244,kõndima,1298
1245,kohtama,1298
1246,traditsiooniline,1297
1247,lumi,1297
1248,lind,1297
1249,sakslane,1295
1250,ajakiri,1293
1251,mujal,1290
1252,ametlik,1290
1253,suits,1287
1254,niimoodi,1287
1255,rahu,1283
1256,tõde,1282
1257,koosseis,1281
1258,puudus,1279
1259,tutvustama,1278
1260,sisemine,1277
1261,otseselt,1275
1262,ajakirjandus,1275
1263,maks,1274
1264,ah,1273
1265,imestama,1269
1266,iseloom,1267
1267,homme,1267
1268,siiani,1264
1269,tehnoloogia,1263
1270,nali,1261
1271,pikkus,1260
1272,energia,1259
1273,kaunis,1258
1274,mistõttu,1257
1275,kätte,1257
1276,kumbki,1257
1277,häda,1257
1278,toode,1256
1279,seltskond,1256
1280,värske,1254
1281,sinine,1254
1282,tudeng,1253
1283,härra,1253
1284,kuivõrd,1249
1285,võrdne,1248
1286,teaduslik,1246
1287,keset,1246
1288,kava,1245
1289,töökoht,1244
1290,mälu,1244
1291,tõdema,1242
1292,termin,1241
1293,sätestama,1241
1294,päästma,1241
1295,nimekiri,1239
1296,masin,1237
1297,kaaluma,1237
1298,andmine,1237
1299,öösel,1235
1300,edukas,1235
1301,käik,1233
1302,esinemine,1233
1303,tulenema,1232
1304,tajuma,1232
1305,käituma,1232
1306,käest,1232
1307,vili,1231
1308,võitlema,1230
1309,võrdlus,1228
1310,lõpetamine,1228
1311,külge,1223
1312,kontsert,1223
1313,kliiniline,1222
1314,nutma,1221
1315,kerkima,1221
1316,taoline,1220
1317,luuletus,1220
1318,tõsiselt,1217
1319,vahtima,1214
1320,olemasolev,1214
1321,täpne,1213
1322,laut,1213
1323,kippuma,1211
1324,õlu,1210
1325,usk,1210
1326,lahendamine,1210
1327,reede,1208
1328,kah,1208
1329,õu,1207
1330,reaalne,1207
1331,ajalooline,1207
1332,juur,1206
1333,tulevane,1205
1334,temperatuur,1205
1335,kõht,1205
1336,kuningas,1205
1337,eemale,1203
1338,lähenemine,1202
1339,välistama,1201
1340,kordama,1201
1341,eelnev,1200
1342,pistma,1199
1343,pakkumine,1199
1344,valmima,1198
1345,pühapäev,1197
1346,õnnetus,1194
1347,kirjeldus,1192
1348,keskenduma,1190
1349,eriala,1189
1350,spetsialist,1187
1351,tulu,1186
1352,rada,1185
1353,meenuma,1185
1354,aste,1184
1355,tera,1183
1356,pealinn,1182
1357,uudis,1179
1358,paks,1179
1359,edasine,1178
1360,tellima,1174
1361,lisanduma,1173
1362,alkohol,1172
1363,omavaheline,1171
1364,tahtlus,1170
1365,iseseisev,1169
1366,tähele,1168
1367,pidev,1165
1368,lihtsam,1165
1369,vaikne,1164
1370,jälg,1164
1371,eestikeelne,1164
1372,arendama,1164
1373,teistsugune,1163
1374,ohtlik,1163
1375,korraldamine,1163
1376,hull,1163
1377,kriteerium,1161
1378,ronima,1159
1379,võitlus,1158
1380,keskel,1158
1381,tekkimine,1156
1382,vaikselt,1155
1383,tume,1153
1384,tehniline,1152
1385,raamatukogu,1151
1386,hüppama,1151
1387,roheline,1150
1388,mullu,1150
1389,treener,1147
1390,takistama,1147
1391,investeering,1145
1392,oh,1144
1393,muutmine,1143
1394,omaette,1142
1395,tädi,1141
1396,teel,1141
1397,missugune,1141
1398,asutus,1140
1399,üritus,1138
1400,sõnum,1138
1401,hotell,1138
1402,karjuma,1137
1403,tarkvara,1136
1404,kass,1136
1405,politseinik,1135
1406,liider,1135
1407,toon,1134
1408,proteiin,1134
1409,operatsioon,1134
1410,muudatus,1134
1411,ükskord,1131
1412,asetama,1131
1413,mass,1129
1414,õiguslik,1128
1415,põhinema,1127
1416,üksus,1126
1417,leidmine,1126
1418,looming,1125
1419,kuskil,1124
1420,kogunema,1124
1421,sagedamini,1123
1422,minevik,1123
1423,hõlmama,1123
1424,sõit,1122
1425,tulenev,1120
1426,traditsioon,1119
1427,kohv,1119
1428,esmaspäev,1119
1429,rakk,1118
1430,klaas,1118
1431,korraks,1116
1432,komi,1116
1433,vein,1115
1434,laen,1115
1435,ettevaatusprintsiip,1115
1436,soomlane,1111
1437,pärinema,1109
1438,oletama,1109
1439,saade,1108
1440,kuritegu,1108
1441,pärima,1107
1442,harva,1107
1443,arusaam,1107
1444,vaene,1106
1445,relv,1106
1446,neiu,1106
1447,eraldama,1105
1448,tundmatu,1104
1449,liikmesriik,1104
1450,ühiskondlik,1103
1451,levik,1102
1452,kasulik,1102
